epoch,loss,val_loss
1,0.09139146655797958,0.07093740999698639
2,0.07212875038385391,0.06605902314186096
3,0.06979811191558838,0.06403225660324097
4,0.06589430570602417,0.06610559672117233
5,0.07037662714719772,0.06125211715698242
6,0.0675310343503952,0.06264554709196091
7,0.06500712037086487,0.0636167824268341
8,0.06611049920320511,0.06445219367742538
9,0.05912797152996063,0.061596617102622986
10,0.0631202757358551,0.06378398835659027
11,0.07009436190128326,0.059591151773929596
12,0.06597085297107697,0.05974031984806061
13,0.06832918524742126,0.062481414526700974
14,0.06386745721101761,0.05905789136886597
15,0.06625771522521973,0.05879325047135353
16,0.063680000603199,0.05899658054113388
17,0.0607265904545784,0.0584198459982872
18,0.06526375561952591,0.06103187054395676
19,0.06310972571372986,0.0616120845079422
20,0.06296560168266296,0.05971793457865715
21,0.06942667067050934,0.05827788636088371
22,0.06452566385269165,0.05931152403354645
23,0.05851427838206291,0.05744234099984169
24,0.06283862143754959,0.05883629992604256
25,0.06061078980565071,0.05718158185482025
26,0.05967220291495323,0.05737589672207832
27,0.06007544696331024,0.05862915515899658
28,0.06191330775618553,0.05632759630680084
29,0.06485770642757416,0.057333894073963165
30,0.05492694303393364,0.05847370624542236
31,0.06233537197113037,0.05760218948125839
32,0.05862226337194443,0.056406453251838684
33,0.059435825794935226,0.05942193418741226
34,0.058156318962574005,0.055221639573574066
35,0.0542747937142849,0.05499380826950073
36,0.06317555159330368,0.1624806523323059
37,0.060283686965703964,0.0570610873401165
38,0.0655965507030487,0.05667458847165108
39,0.06005952134728432,0.05779518932104111
40,0.06502034515142441,0.054946403950452805
41,0.0666748434305191,0.055763620883226395
42,0.06085671856999397,0.054965369403362274
43,0.058255456387996674,0.05593874678015709
44,0.060130614787340164,0.055610593408346176
45,0.05547156557440758,0.05440158024430275
46,0.058642398566007614,0.055499427020549774
47,0.05824878066778183,0.05545419082045555
48,0.06067429855465889,0.053912367671728134
49,0.06298726052045822,0.054896704852581024
50,0.06159912794828415,0.05492473766207695
51,0.052852388471364975,0.05599421262741089
52,0.060497671365737915,0.05386382341384888
53,0.05374593660235405,0.05471089109778404
54,0.05998102203011513,0.0562879703938961
55,0.058641985058784485,0.056527622044086456
56,0.05907672271132469,0.056202977895736694
57,0.05977727845311165,0.052997179329395294
58,0.06232239305973053,0.05488814786076546
59,0.0550738126039505,0.05439718812704086
60,0.06172462925314903,0.05793144181370735
