split,threshold_mode,profile,class_name,threshold,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms,n_tracks_with_class,n_tracks_with_errors
TEST,global,basic_groove,KD,0.04,897,874,404,0.5064935064935064,0.6894696387394312,0.5839843750000001,16.031123269165818,12.999999999999938,35.58496000000003,332,328
TEST,global,basic_groove,SD,0.04,609,461,690,0.569158878504673,0.46882217090069284,0.5141409877585479,20.622091767510078,18.917000000000016,39.58299999999993,332,324
TEST,global,basic_groove,T12,0.04,211,208,149,0.5035799522673031,0.5861111111111111,0.5417201540436457,19.542628431372556,16.2500000000001,42.75860000000006,332,201
TEST,global,basic_groove,T14,0.04,147,129,217,0.532608695652174,0.40384615384615385,0.459375,15.976534246575333,12.082999999999844,30.83299999999989,332,226
TEST,global,basic_groove,T16,0.04,175,86,200,0.6704980842911877,0.4666666666666667,0.550314465408805,17.532450295858,13.5829999999999,38.417000000000144,332,203
TEST,global,fast_dense,KD,0.04,288,276,206,0.5106382978723404,0.582995951417004,0.5444234404536861,16.88573452751817,15.166399999999912,36.58300000000003,108,107
TEST,global,fast_dense,SD,0.04,258,155,245,0.6246973365617433,0.5129224652087475,0.5633187772925764,18.78597923408845,17.444333333333322,39.859720000000046,108,107
TEST,global,fast_dense,T12,0.04,83,95,67,0.46629213483146065,0.5533333333333333,0.5060975609756097,20.229895111111098,15.666999999999987,43.76679999999996,108,81
TEST,global,fast_dense,T14,0.04,68,63,74,0.5190839694656488,0.4788732394366197,0.4981684981684981,20.606471717171715,14.583000000000013,45.082999999999984,108,77
TEST,global,fast_dense,T16,0.04,71,53,65,0.5725806451612904,0.5220588235294118,0.5461538461538462,19.421668115942037,14.833000000000096,43.53300000000005,108,74
TEST,global,fill_heavy,KD,0.04,509,548,318,0.4815515610217597,0.6154776299879081,0.5403397027600849,16.121366960611404,13.333499999999942,36.279999999999916,189,187
TEST,global,fill_heavy,SD,0.04,425,326,415,0.5659121171770972,0.5059523809523809,0.5342551854179761,20.28342274401473,19.49999999999996,39.87332000000004,189,187
TEST,global,fill_heavy,T12,0.04,122,158,108,0.4357142857142857,0.5304347826086957,0.47843137254901963,21.671833333333318,18.666500000000028,44.917000000000094,189,135
TEST,global,fill_heavy,T14,0.04,114,91,121,0.5560975609756098,0.4851063829787234,0.5181818181818182,18.982030529595022,13.4417,42.83300000000012,189,129
TEST,global,fill_heavy,T16,0.04,130,66,106,0.6632653061224489,0.5508474576271186,0.6018518518518517,18.15934808743168,14.917000000000069,41.95799999999994,189,112
TEST,global,humanized_mixed,KD,0.04,505,499,268,0.5029880478087649,0.6532988357050453,0.5683736634777715,17.071591391941393,14.208049999999995,36.55005000000004,184,181
TEST,global,humanized_mixed,SD,0.04,390,299,378,0.5660377358490566,0.5078125,0.5353466026080989,20.044632317460326,17.49999999999985,41.17510000000004,184,182
TEST,global,humanized_mixed,T12,0.04,128,140,93,0.47761194029850745,0.579185520361991,0.523517382413088,21.003354444444454,17.91699999999996,43.33300000000007,184,125
TEST,global,humanized_mixed,T14,0.04,120,91,112,0.5687203791469194,0.5172413793103449,0.5417607223476297,20.080688985507226,15.832999999999986,42.83300000000012,184,126
TEST,global,humanized_mixed,T16,0.04,125,70,105,0.6410256410256411,0.5434782608695652,0.5882352941176471,16.934394444444443,13.33300000000004,37.85800000000002,184,109
TEST,global,standard_rock,KD,0.04,1011,949,485,0.5158163265306123,0.6758021390374331,0.5850694444444444,16.62676851370852,13.917000000000002,37.33822000000015,387,375
TEST,global,standard_rock,SD,0.04,717,538,763,0.5713147410358566,0.48445945945945945,0.5243144424131627,19.896140266299362,18.1669999999996,39.401659999999985,387,380
TEST,global,standard_rock,T12,0.04,253,275,183,0.4791666666666667,0.5802752293577982,0.524896265560166,19.74171872340426,16.000000000000014,45.082999999999984,387,251
TEST,global,standard_rock,T14,0.04,199,167,225,0.5437158469945356,0.4693396226415094,0.5037974683544304,18.847409475465305,13.332999999999927,43.91699999999999,387,249
TEST,global,standard_rock,T16,0.04,233,109,187,0.6812865497076024,0.5547619047619048,0.6115485564304463,19.01509913043479,15.417000000000014,42.19200000000008,387,207
