split,track_id,profile,duration_sec,n_total_events_track,event_density_per_sec,class_name,threshold,threshold_mode,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,18.91666666666661,5.166999999999922,41.69979999999991
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,19.666499999999978,19.666499999999978,23.133299999999924
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,T12,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,50.08299999999988,50.08299999999988,50.08299999999988
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000036_112bpm,basic_groove,3.85,12,3.116883116883117,KD,0.04,global,2,2,3,0.5,0.4,0.4444444444444445,10.625000000000023,10.625000000000023,18.72500000000004
TEST,test_basic_groove_000036_112bpm,basic_groove,3.85,12,3.116883116883117,SD,0.04,global,1,0,3,1.0,0.25,0.4,11.083000000000176,11.083000000000176,11.083000000000176
TEST,test_basic_groove_000036_112bpm,basic_groove,3.85,12,3.116883116883117,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000036_112bpm,basic_groove,3.85,12,3.116883116883117,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000036_112bpm,basic_groove,3.85,12,3.116883116883117,T16,0.04,global,1,0,0,1.0,1.0,1.0,11.917000000000177,11.917000000000177,11.917000000000177
TEST,test_basic_groove_000046_90bpm,basic_groove,4.07,12,2.9484029484029484,KD,0.04,global,3,1,1,0.75,0.75,0.75,5.77766666666668,6.5830000000000055,9.916600000000031
TEST,test_basic_groove_000046_90bpm,basic_groove,4.07,12,2.9484029484029484,SD,0.04,global,1,3,4,0.25,0.2,0.22222222222222224,5.833000000000088,5.833000000000088,5.833000000000088
TEST,test_basic_groove_000046_90bpm,basic_groove,4.07,12,2.9484029484029484,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,13.916999999999957,13.916999999999957,13.916999999999957
TEST,test_basic_groove_000046_90bpm,basic_groove,4.07,12,2.9484029484029484,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000046_90bpm,basic_groove,4.07,12,2.9484029484029484,T16,0.04,global,1,0,0,1.0,1.0,1.0,12.500000000000178,12.500000000000178,12.500000000000178
TEST,test_basic_groove_000047_104bpm,basic_groove,3.7,11,2.972972972972973,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,18.194333333333322,3.082999999999947,41.616600000000005
TEST,test_basic_groove_000047_104bpm,basic_groove,3.7,11,2.972972972972973,SD,0.04,global,1,0,3,1.0,0.25,0.4,1.9169999999999465,1.9169999999999465,1.9169999999999465
TEST,test_basic_groove_000047_104bpm,basic_groove,3.7,11,2.972972972972973,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000047_104bpm,basic_groove,3.7,11,2.972972972972973,T14,0.04,global,1,0,0,1.0,1.0,1.0,20.750000000000046,20.750000000000046,20.750000000000046
