split,track_id,profile,duration_sec,n_total_events_track,event_density_per_sec,class_name,threshold,threshold_mode,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms
TEST,test_basic_groove_000483_110bpm,basic_groove,3.75,10,2.6666666666666665,KD,0.04,global,3,3,1,0.5,0.75,0.6,25.110999999999958,31.749999999999943,41.21639999999993
TEST,test_basic_groove_000483_110bpm,basic_groove,3.75,10,2.6666666666666665,SD,0.04,global,3,1,0,0.75,1.0,0.8571428571428571,16.499999999999886,8.249999999999869,28.916399999999864
TEST,test_basic_groove_000483_110bpm,basic_groove,3.75,10,2.6666666666666665,T12,0.04,global,1,0,0,1.0,1.0,1.0,26.416999999999913,26.416999999999913,26.416999999999913
TEST,test_basic_groove_000483_110bpm,basic_groove,3.75,10,2.6666666666666665,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000483_110bpm,basic_groove,3.75,10,2.6666666666666665,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000487_109bpm,basic_groove,4.04,12,2.9702970297029703,KD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,3.0415000000000023,3.0415000000000023,5.074700000000004
TEST,test_basic_groove_000487_109bpm,basic_groove,4.04,12,2.9702970297029703,SD,0.04,global,3,0,1,1.0,0.75,0.8571428571428571,16.916666666666732,3.583000000000003,36.45020000000002
TEST,test_basic_groove_000487_109bpm,basic_groove,4.04,12,2.9702970297029703,T12,0.04,global,1,0,0,1.0,1.0,1.0,7.750000000000146,7.750000000000146,7.750000000000146
TEST,test_basic_groove_000487_109bpm,basic_groove,4.04,12,2.9702970297029703,T14,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,5.667000000000089,5.667000000000089,5.667000000000089
TEST,test_basic_groove_000487_109bpm,basic_groove,4.04,12,2.9702970297029703,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000496_94bpm,basic_groove,4.53,12,2.649006622516556,KD,0.04,global,3,4,2,0.42857142857142855,0.6,0.5,23.583333333333417,19.083000000000073,43.016600000000004
TEST,test_basic_groove_000496_94bpm,basic_groove,4.53,12,2.649006622516556,SD,0.04,global,1,4,3,0.2,0.25,0.22222222222222224,28.166999999999998,28.166999999999998,28.166999999999998
TEST,test_basic_groove_000496_94bpm,basic_groove,4.53,12,2.649006622516556,T12,0.04,global,1,0,0,1.0,1.0,1.0,10.167000000000037,10.167000000000037,10.167000000000037
TEST,test_basic_groove_000496_94bpm,basic_groove,4.53,12,2.649006622516556,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000496_94bpm,basic_groove,4.53,12,2.649006622516556,T16,0.04,global,1,0,0,1.0,1.0,1.0,10.000000000000231,10.000000000000231,10.000000000000231
TEST,test_basic_groove_000498_91bpm,basic_groove,4.44,11,2.477477477477477,KD,0.04,global,3,3,1,0.5,0.75,0.6,18.08333333333323,5.33299999999981,40.20019999999987
TEST,test_basic_groove_000498_91bpm,basic_groove,4.44,11,2.477477477477477,SD,0.04,global,1,1,3,0.5,0.25,0.3333333333333333,40.49999999999998,40.49999999999998,40.49999999999998
TEST,test_basic_groove_000498_91bpm,basic_groove,4.44,11,2.477477477477477,T12,0.04,global,1,0,0,1.0,1.0,1.0,3.5000000000000586,3.5000000000000586,3.5000000000000586
TEST,test_basic_groove_000498_91bpm,basic_groove,4.44,11,2.477477477477477,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000498_91bpm,basic_groove,4.44,11,2.477477477477477,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000503_96bpm,basic_groove,4.11,11,2.67639902676399,KD,0.04,global,3,4,1,0.42857142857142855,0.75,0.5454545454545454,1.8609999999999645,0.7500000000000284,4.016399999999898
TEST,test_basic_groove_000503_96bpm,basic_groove,4.11,11,2.67639902676399,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,22.58349999999995,22.58349999999995,28.11670000000001
TEST,test_basic_groove_000503_96bpm,basic_groove,4.11,11,2.67639902676399,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000503_96bpm,basic_groove,4.11,11,2.67639902676399,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000503_96bpm,basic_groove,4.11,11,2.67639902676399,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000508_90bpm,basic_groove,4.42,12,2.7149321266968327,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,6.166666666666681,7.583000000000006,9.650200000000032
TEST,test_basic_groove_000508_90bpm,basic_groove,4.42,12,2.7149321266968327,SD,0.04,global,2,2,3,0.5,0.4,0.4444444444444445,21.792000000000062,21.792000000000062,23.89200000000012
TEST,test_basic_groove_000508_90bpm,basic_groove,4.42,12,2.7149321266968327,T12,0.04,global,1,0,0,1.0,1.0,1.0,2.666999999999975,2.666999999999975,2.666999999999975
TEST,test_basic_groove_000508_90bpm,basic_groove,4.42,12,2.7149321266968327,T14,0.04,global,1,0,0,1.0,1.0,1.0,0.8330000000000837,0.8330000000000837,0.8330000000000837
TEST,test_basic_groove_000508_90bpm,basic_groove,4.42,12,2.7149321266968327,T16,0.04,global,1,0,0,1.0,1.0,1.0,14.833000000000096,14.833000000000096,14.833000000000096
TEST,test_basic_groove_000509_107bpm,basic_groove,4.09,10,2.444987775061125,KD,0.04,global,2,4,2,0.3333333333333333,0.5,0.4,15.208499999999903,15.208499999999903,23.37529999999982
TEST,test_basic_groove_000509_107bpm,basic_groove,4.09,10,2.444987775061125,SD,0.04,global,1,3,2,0.25,0.3333333333333333,0.28571428571428575,17.91699999999996,17.91699999999996,17.91699999999996
TEST,test_basic_groove_000509_107bpm,basic_groove,4.09,10,2.444987775061125,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,5.333000000000032,5.333000000000032,5.333000000000032
TEST,test_basic_groove_000509_107bpm,basic_groove,4.09,10,2.444987775061125,T14,0.04,global,1,0,0,1.0,1.0,1.0,25.249999999999993,25.249999999999993,25.249999999999993
TEST,test_basic_groove_000509_107bpm,basic_groove,4.09,10,2.444987775061125,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000513_100bpm,basic_groove,4.37,12,2.745995423340961,KD,0.04,global,5,1,0,0.8333333333333334,1.0,0.9090909090909091,11.799999999999986,7.249999999999979,26.433199999999957
TEST,test_basic_groove_000513_100bpm,basic_groove,4.37,12,2.745995423340961,SD,0.04,global,1,2,3,0.3333333333333333,0.25,0.28571428571428575,8.000000000000007,8.000000000000007,8.000000000000007
TEST,test_basic_groove_000513_100bpm,basic_groove,4.37,12,2.745995423340961,T12,0.04,global,1,0,0,1.0,1.0,1.0,44.167000000000066,44.167000000000066,44.167000000000066
TEST,test_basic_groove_000513_100bpm,basic_groove,4.37,12,2.745995423340961,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000513_100bpm,basic_groove,4.37,12,2.745995423340961,T16,0.04,global,1,0,0,1.0,1.0,1.0,12.500000000000178,12.500000000000178,12.500000000000178
TEST,test_basic_groove_000515_92bpm,basic_groove,3.93,10,2.544529262086514,KD,0.04,global,3,3,1,0.5,0.75,0.6,17.222333333333378,24.417000000000133,26.217000000000024
TEST,test_basic_groove_000515_92bpm,basic_groove,3.93,10,2.544529262086514,SD,0.04,global,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,25.875000000000092,25.875000000000092,32.975000000000065
TEST,test_basic_groove_000515_92bpm,basic_groove,3.93,10,2.544529262086514,T12,0.04,global,1,2,0,0.3333333333333333,1.0,0.5,26.75000000000005,26.75000000000005,26.75000000000005
TEST,test_basic_groove_000515_92bpm,basic_groove,3.93,10,2.544529262086514,T14,0.04,global,1,2,0,0.3333333333333333,1.0,0.5,10.917000000000066,10.917000000000066,10.917000000000066
TEST,test_basic_groove_000515_92bpm,basic_groove,3.93,10,2.544529262086514,T16,0.04,global,0,2,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000517_102bpm,basic_groove,4.03,11,2.729528535980149,KD,0.04,global,3,3,1,0.5,0.75,0.6,11.02766666666664,3.249999999999975,24.44999999999995
TEST,test_basic_groove_000517_102bpm,basic_groove,4.03,11,2.729528535980149,SD,0.04,global,3,0,1,1.0,0.75,0.8571428571428571,22.638666666666733,19.50000000000007,38.76640000000005
TEST,test_basic_groove_000517_102bpm,basic_groove,4.03,11,2.729528535980149,T12,0.04,global,1,0,0,1.0,1.0,1.0,0.5830000000000002,0.5830000000000002,0.5830000000000002
TEST,test_basic_groove_000517_102bpm,basic_groove,4.03,11,2.729528535980149,T14,0.04,global,1,0,0,1.0,1.0,1.0,2.083000000000279,2.083000000000279,2.083000000000279
TEST,test_basic_groove_000517_102bpm,basic_groove,4.03,11,2.729528535980149,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000518_95bpm,basic_groove,4.45,12,2.696629213483146,KD,0.04,global,3,4,1,0.42857142857142855,0.75,0.5454545454545454,24.277666666666665,26.666999999999994,41.59980000000001
TEST,test_basic_groove_000518_95bpm,basic_groove,4.45,12,2.696629213483146,SD,0.04,global,1,3,3,0.25,0.25,0.25,43.33300000000001,43.33300000000001,43.33300000000001
TEST,test_basic_groove_000518_95bpm,basic_groove,4.45,12,2.696629213483146,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,49.49999999999988,49.49999999999988,49.49999999999988
TEST,test_basic_groove_000518_95bpm,basic_groove,4.45,12,2.696629213483146,T14,0.04,global,0,1,2,0.0,0.0,0.0,,,
TEST,test_basic_groove_000518_95bpm,basic_groove,4.45,12,2.696629213483146,T16,0.04,global,1,0,0,1.0,1.0,1.0,3.9169999999999483,3.9169999999999483,3.9169999999999483
TEST,test_basic_groove_000519_96bpm,basic_groove,4.33,11,2.540415704387991,KD,0.04,global,3,1,1,0.75,0.75,0.75,17.74999999999998,20.916999999999852,29.383400000000037
TEST,test_basic_groove_000519_96bpm,basic_groove,4.33,11,2.540415704387991,SD,0.04,global,2,2,2,0.5,0.5,0.5,5.916500000000047,5.916500000000047,7.249700000000015
TEST,test_basic_groove_000519_96bpm,basic_groove,4.33,11,2.540415704387991,T12,0.04,global,1,0,0,1.0,1.0,1.0,5.832999999999977,5.832999999999977,5.832999999999977
TEST,test_basic_groove_000519_96bpm,basic_groove,4.33,11,2.540415704387991,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000519_96bpm,basic_groove,4.33,11,2.540415704387991,T16,0.04,global,1,0,0,1.0,1.0,1.0,3.583000000000114,3.583000000000114,3.583000000000114
TEST,test_basic_groove_000523_114bpm,basic_groove,3.82,11,2.8795811518324608,KD,0.04,global,2,2,2,0.5,0.5,0.5,4.249999999999976,4.249999999999976,7.649999999999957
TEST,test_basic_groove_000523_114bpm,basic_groove,3.82,11,2.8795811518324608,SD,0.04,global,2,0,2,1.0,0.5,0.6666666666666666,17.79150000000007,17.79150000000007,26.224700000000144
TEST,test_basic_groove_000523_114bpm,basic_groove,3.82,11,2.8795811518324608,T12,0.04,global,1,2,0,0.3333333333333333,1.0,0.5,8.167000000000035,8.167000000000035,8.167000000000035
TEST,test_basic_groove_000523_114bpm,basic_groove,3.82,11,2.8795811518324608,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000523_114bpm,basic_groove,3.82,11,2.8795811518324608,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000528_108bpm,basic_groove,4.06,11,2.7093596059113305,KD,0.04,global,4,2,0,0.6666666666666666,1.0,0.8,12.958249999999964,13.124999999999943,22.700099999999992
TEST,test_basic_groove_000528_108bpm,basic_groove,4.06,11,2.7093596059113305,SD,0.04,global,4,0,0,1.0,1.0,1.0,19.62524999999998,20.54200000000006,25.691999999999805
TEST,test_basic_groove_000528_108bpm,basic_groove,4.06,11,2.7093596059113305,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,26.500000000000192,26.500000000000192,26.500000000000192
TEST,test_basic_groove_000528_108bpm,basic_groove,4.06,11,2.7093596059113305,T14,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,45.91699999999999,45.91699999999999,45.91699999999999
TEST,test_basic_groove_000528_108bpm,basic_groove,4.06,11,2.7093596059113305,T16,0.04,global,1,0,0,1.0,1.0,1.0,28.249999999999886,28.249999999999886,28.249999999999886
TEST,test_basic_groove_000531_101bpm,basic_groove,3.7,11,2.972972972972973,KD,0.04,global,4,1,0,0.8,1.0,0.888888888888889,6.395750000000006,3.916500000000045,14.324899999999998
TEST,test_basic_groove_000531_101bpm,basic_groove,3.7,11,2.972972972972973,SD,0.04,global,2,2,2,0.5,0.5,0.5,24.916500000000006,24.916500000000006,37.04970000000007
TEST,test_basic_groove_000531_101bpm,basic_groove,3.7,11,2.972972972972973,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,35.41700000000003,35.41700000000003,35.41700000000003
TEST,test_basic_groove_000531_101bpm,basic_groove,3.7,11,2.972972972972973,T14,0.04,global,1,0,0,1.0,1.0,1.0,7.249999999999979,7.249999999999979,7.249999999999979
TEST,test_basic_groove_000531_101bpm,basic_groove,3.7,11,2.972972972972973,T16,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,17.08299999999996,17.08299999999996,17.08299999999996
TEST,test_basic_groove_000535_102bpm,basic_groove,4.03,10,2.4813895781637716,KD,0.04,global,3,1,0,0.75,1.0,0.8571428571428571,12.02766666666666,4.583000000000004,26.11659999999998
TEST,test_basic_groove_000535_102bpm,basic_groove,4.03,10,2.4813895781637716,SD,0.04,global,3,0,0,1.0,1.0,1.0,8.972333333333323,4.167000000000032,18.767000000000024
TEST,test_basic_groove_000535_102bpm,basic_groove,4.03,10,2.4813895781637716,T12,0.04,global,1,1,1,0.5,0.5,0.5,28.000000000000025,28.000000000000025,28.000000000000025
TEST,test_basic_groove_000535_102bpm,basic_groove,4.03,10,2.4813895781637716,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000535_102bpm,basic_groove,4.03,10,2.4813895781637716,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000536_105bpm,basic_groove,3.83,10,2.6109660574412534,KD,0.04,global,2,2,2,0.5,0.5,0.5,20.166499999999978,20.166499999999978,36.29969999999996
TEST,test_basic_groove_000536_105bpm,basic_groove,3.83,10,2.6109660574412534,SD,0.04,global,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.583499999999972,15.583499999999972,27.050299999999975
TEST,test_basic_groove_000536_105bpm,basic_groove,3.83,10,2.6109660574412534,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000536_105bpm,basic_groove,3.83,10,2.6109660574412534,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000536_105bpm,basic_groove,3.83,10,2.6109660574412534,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000538_93bpm,basic_groove,4.55,11,2.417582417582418,KD,0.04,global,2,4,2,0.3333333333333333,0.5,0.4,8.833499999999939,8.833499999999939,15.90029999999989
TEST,test_basic_groove_000538_93bpm,basic_groove,4.55,11,2.417582417582418,SD,0.04,global,1,0,3,1.0,0.25,0.4,54.83299999999991,54.83299999999991,54.83299999999991
TEST,test_basic_groove_000538_93bpm,basic_groove,4.55,11,2.417582417582418,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000538_93bpm,basic_groove,4.55,11,2.417582417582418,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000538_93bpm,basic_groove,4.55,11,2.417582417582418,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000539_95bpm,basic_groove,4.35,12,2.7586206896551726,KD,0.04,global,3,3,1,0.5,0.75,0.6,19.166666666666618,23.58299999999991,31.716599999999936
TEST,test_basic_groove_000539_95bpm,basic_groove,4.35,12,2.7586206896551726,SD,0.04,global,2,4,2,0.3333333333333333,0.5,0.4,27.333499999999958,27.333499999999958,28.200299999999924
TEST,test_basic_groove_000539_95bpm,basic_groove,4.35,12,2.7586206896551726,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000539_95bpm,basic_groove,4.35,12,2.7586206896551726,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000539_95bpm,basic_groove,4.35,12,2.7586206896551726,T16,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,28.000000000000025,28.000000000000025,28.000000000000025
TEST,test_basic_groove_000540_99bpm,basic_groove,4.41,10,2.2675736961451247,KD,0.04,global,2,3,2,0.4,0.5,0.4444444444444445,27.666499999999996,27.666499999999996,49.13329999999999
TEST,test_basic_groove_000540_99bpm,basic_groove,4.41,10,2.2675736961451247,SD,0.04,global,0,2,3,0.0,0.0,0.0,,,
TEST,test_basic_groove_000540_99bpm,basic_groove,4.41,10,2.2675736961451247,T12,0.04,global,1,0,0,1.0,1.0,1.0,48.25000000000013,48.25000000000013,48.25000000000013
TEST,test_basic_groove_000540_99bpm,basic_groove,4.41,10,2.2675736961451247,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000540_99bpm,basic_groove,4.41,10,2.2675736961451247,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000541_96bpm,basic_groove,4.31,10,2.320185614849188,KD,0.04,global,3,2,0,0.6,1.0,0.7499999999999999,4.222000000000004,6.083000000000061,6.416599999999972
TEST,test_basic_groove_000541_96bpm,basic_groove,4.31,10,2.320185614849188,SD,0.04,global,0,1,4,0.0,0.0,0.0,,,
TEST,test_basic_groove_000541_96bpm,basic_groove,4.31,10,2.320185614849188,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000541_96bpm,basic_groove,4.31,10,2.320185614849188,T14,0.04,global,1,0,0,1.0,1.0,1.0,6.249999999999867,6.249999999999867,6.249999999999867
TEST,test_basic_groove_000541_96bpm,basic_groove,4.31,10,2.320185614849188,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000547_107bpm,basic_groove,4.07,10,2.457002457002457,KD,0.04,global,3,1,0,0.75,1.0,0.8571428571428571,40.44433333333338,41.83300000000001,50.90019999999998
TEST,test_basic_groove_000547_107bpm,basic_groove,4.07,10,2.457002457002457,SD,0.04,global,0,1,4,0.0,0.0,0.0,,,
TEST,test_basic_groove_000547_107bpm,basic_groove,4.07,10,2.457002457002457,T12,0.04,global,1,0,0,1.0,1.0,1.0,52.16699999999985,52.16699999999985,52.16699999999985
TEST,test_basic_groove_000547_107bpm,basic_groove,4.07,10,2.457002457002457,T14,0.04,global,1,0,0,1.0,1.0,1.0,43.58299999999993,43.58299999999993,43.58299999999993
TEST,test_basic_groove_000547_107bpm,basic_groove,4.07,10,2.457002457002457,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000551_106bpm,basic_groove,3.81,11,2.8871391076115485,KD,0.04,global,1,3,3,0.25,0.25,0.25,0.75,0.75,0.75
TEST,test_basic_groove_000551_106bpm,basic_groove,3.81,11,2.8871391076115485,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,50.667000000000016,50.667000000000016,51.26700000000004
TEST,test_basic_groove_000551_106bpm,basic_groove,3.81,11,2.8871391076115485,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000551_106bpm,basic_groove,3.81,11,2.8871391076115485,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000551_106bpm,basic_groove,3.81,11,2.8871391076115485,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000554_98bpm,basic_groove,4.42,12,2.7149321266968327,KD,0.04,global,3,3,1,0.5,0.75,0.6,3.9999999999999756,1.166999999999918,8.69979999999999
TEST,test_basic_groove_000554_98bpm,basic_groove,4.42,12,2.7149321266968327,SD,0.04,global,1,0,3,1.0,0.25,0.4,19.583000000000126,19.583000000000126,19.583000000000126
TEST,test_basic_groove_000554_98bpm,basic_groove,4.42,12,2.7149321266968327,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000554_98bpm,basic_groove,4.42,12,2.7149321266968327,T14,0.04,global,1,0,0,1.0,1.0,1.0,21.750000000000156,21.750000000000156,21.750000000000156
TEST,test_basic_groove_000554_98bpm,basic_groove,4.42,12,2.7149321266968327,T16,0.04,global,0,1,2,0.0,0.0,0.0,,,
TEST,test_basic_groove_000560_104bpm,basic_groove,4.14,11,2.6570048309178746,KD,0.04,global,4,1,0,0.8,1.0,0.888888888888889,20.375000000000025,24.00000000000002,31.349900000000066
TEST,test_basic_groove_000560_104bpm,basic_groove,4.14,11,2.6570048309178746,SD,0.04,global,1,0,3,1.0,0.25,0.4,29.833,29.833,29.833
TEST,test_basic_groove_000560_104bpm,basic_groove,4.14,11,2.6570048309178746,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,22.916999999999852,22.916999999999852,22.916999999999852
TEST,test_basic_groove_000560_104bpm,basic_groove,4.14,11,2.6570048309178746,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000560_104bpm,basic_groove,4.14,11,2.6570048309178746,T16,0.04,global,1,0,0,1.0,1.0,1.0,21.749999999999936,21.749999999999936,21.749999999999936
TEST,test_basic_groove_000570_114bpm,basic_groove,3.89,12,3.0848329048843186,KD,0.04,global,2,3,2,0.4,0.5,0.4444444444444445,24.083499999999994,24.083499999999994,42.81669999999999
TEST,test_basic_groove_000570_114bpm,basic_groove,3.89,12,3.0848329048843186,SD,0.04,global,1,2,3,0.3333333333333333,0.25,0.28571428571428575,47.58299999999993,47.58299999999993,47.58299999999993
TEST,test_basic_groove_000570_114bpm,basic_groove,3.89,12,3.0848329048843186,T12,0.04,global,1,0,0,1.0,1.0,1.0,8.499999999999952,8.499999999999952,8.499999999999952
TEST,test_basic_groove_000570_114bpm,basic_groove,3.89,12,3.0848329048843186,T14,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,3.0000000000001137,3.0000000000001137,3.0000000000001137
TEST,test_basic_groove_000570_114bpm,basic_groove,3.89,12,3.0848329048843186,T16,0.04,global,1,0,0,1.0,1.0,1.0,34.16699999999984,34.16699999999984,34.16699999999984
TEST,test_basic_groove_000571_97bpm,basic_groove,4.29,12,2.797202797202797,KD,0.04,global,2,4,2,0.3333333333333333,0.5,0.4,7.708000000000048,7.708000000000048,13.408000000000087
TEST,test_basic_groove_000571_97bpm,basic_groove,4.29,12,2.797202797202797,SD,0.04,global,3,1,1,0.75,0.75,0.75,8.194333333333303,4.999999999999893,15.000000000000036
TEST,test_basic_groove_000571_97bpm,basic_groove,4.29,12,2.797202797202797,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000571_97bpm,basic_groove,4.29,12,2.797202797202797,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000571_97bpm,basic_groove,4.29,12,2.797202797202797,T16,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,4.33299999999992,4.33299999999992,4.33299999999992
TEST,test_basic_groove_000575_93bpm,basic_groove,4.35,12,2.7586206896551726,KD,0.04,global,3,3,1,0.5,0.75,0.6,8.305666666666683,4.917000000000005,16.44980000000004
TEST,test_basic_groove_000575_93bpm,basic_groove,4.35,12,2.7586206896551726,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,27.62500000000001,27.62500000000001,37.92499999999998
TEST,test_basic_groove_000575_93bpm,basic_groove,4.35,12,2.7586206896551726,T12,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,2.249999999999863,2.249999999999863,2.249999999999863
TEST,test_basic_groove_000575_93bpm,basic_groove,4.35,12,2.7586206896551726,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000575_93bpm,basic_groove,4.35,12,2.7586206896551726,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000578_100bpm,basic_groove,4.22,12,2.843601895734597,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,29.861333333333334,34.667,39.73340000000003
TEST,test_basic_groove_000578_100bpm,basic_groove,4.22,12,2.843601895734597,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,22.917000000000076,22.917000000000076,37.71700000000005
TEST,test_basic_groove_000578_100bpm,basic_groove,4.22,12,2.843601895734597,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,33.667000000000115,33.667000000000115,33.667000000000115
TEST,test_basic_groove_000578_100bpm,basic_groove,4.22,12,2.843601895734597,T14,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,26.33299999999994,26.33299999999994,26.33299999999994
TEST,test_basic_groove_000578_100bpm,basic_groove,4.22,12,2.843601895734597,T16,0.04,global,1,1,1,0.5,0.5,0.5,13.916999999999957,13.916999999999957,13.916999999999957
TEST,test_basic_groove_000583_96bpm,basic_groove,4.27,10,2.3419203747072603,KD,0.04,global,3,3,1,0.5,0.75,0.6,18.555666666666657,16.917000000000016,34.383399999999966
TEST,test_basic_groove_000583_96bpm,basic_groove,4.27,10,2.3419203747072603,SD,0.04,global,0,4,3,0.0,0.0,0.0,,,
TEST,test_basic_groove_000583_96bpm,basic_groove,4.27,10,2.3419203747072603,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000583_96bpm,basic_groove,4.27,10,2.3419203747072603,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000583_96bpm,basic_groove,4.27,10,2.3419203747072603,T16,0.04,global,1,0,0,1.0,1.0,1.0,18.583000000000016,18.583000000000016,18.583000000000016
TEST,test_basic_groove_000585_109bpm,basic_groove,3.85,10,2.5974025974025974,KD,0.04,global,2,2,1,0.5,0.6666666666666666,0.5714285714285715,2.874999999999919,2.874999999999919,4.974999999999855
TEST,test_basic_groove_000585_109bpm,basic_groove,3.85,10,2.5974025974025974,SD,0.04,global,1,1,2,0.5,0.3333333333333333,0.4,39.58299999999993,39.58299999999993,39.58299999999993
TEST,test_basic_groove_000585_109bpm,basic_groove,3.85,10,2.5974025974025974,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,44.00000000000004,44.00000000000004,44.00000000000004
TEST,test_basic_groove_000585_109bpm,basic_groove,3.85,10,2.5974025974025974,T14,0.04,global,2,0,0,1.0,1.0,1.0,11.874999999999858,11.874999999999858,16.974999999999874
TEST,test_basic_groove_000585_109bpm,basic_groove,3.85,10,2.5974025974025974,T16,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,29.417000000000026,29.417000000000026,29.417000000000026
TEST,test_basic_groove_000586_98bpm,basic_groove,4.28,12,2.803738317757009,KD,0.04,global,1,5,3,0.16666666666666666,0.25,0.2,7.917000000000063,7.917000000000063,7.917000000000063
TEST,test_basic_groove_000586_98bpm,basic_groove,4.28,12,2.803738317757009,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,8.125000000000021,8.125000000000021,11.625000000000012
TEST,test_basic_groove_000586_98bpm,basic_groove,4.28,12,2.803738317757009,T12,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,19.583000000000126,19.583000000000126,19.583000000000126
