split,threshold_mode,class_name,threshold,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms,n_tracks_with_class,n_tracks_with_errors
TEST,global,KD,0.04,3210,3146,1681,0.5050346129641284,0.6563075035780004,0.5708188850360097,16.47339514821029,13.816399999999994,36.570500000000024,1200,1178
TEST,global,SD,0.04,2399,1779,2491,0.5741981809478219,0.4905930470347648,0.5291133656815175,20.075430004938273,18.266399999999997,39.871640000000035,1200,1180
TEST,global,T12,0.04,797,876,600,0.47638971906754335,0.5705082319255548,0.5192182410423454,20.240586569148938,16.583000000000013,44.20849999999999,1200,793
TEST,global,T14,0.04,648,541,749,0.5449957947855341,0.4638511095204009,0.5011600928074246,18.61473423137876,14.083000000000068,42.66700000000001,1200,807
TEST,global,T16,0.04,734,384,663,0.6565295169946332,0.525411596277738,0.5836978131212723,18.20298563380282,14.832999999999874,41.082999999999984,1200,705
