epoch,loss,val_loss
1,0.01657194457948208,0.012178130447864532
2,0.012801798060536385,0.013494450598955154
3,0.012507307343184948,0.011609060689806938
4,0.011971164494752884,0.011705067940056324
5,0.012672442011535168,0.011115153320133686
6,0.012282449752092361,0.011259287595748901
7,0.01166750118136406,0.0158927571028471
8,0.011881713755428791,0.011431303806602955
9,0.01067840401083231,0.011244325898587704
10,0.01134026050567627,0.010772435925900936
11,0.012690248899161816,0.010750563815236092
12,0.011923961341381073,0.011077672243118286
13,0.012894592247903347,0.012220265343785286
14,0.011728211306035519,0.011103125289082527
15,0.011997914873063564,0.010654902085661888
16,0.01157583761960268,0.010767264291644096
17,0.010949887335300446,0.06438849121332169
18,0.011872148141264915,0.010806404054164886
19,0.011503774672746658,0.01079791970551014
20,0.011461218819022179,0.011118664406239986
21,0.012703224085271358,0.010647024028003216
22,0.01175125315785408,0.010731152258813381
23,0.010784498415887356,0.010456044226884842
24,0.011460037901997566,0.0107400668784976
25,0.011202707886695862,0.010639759711921215
26,0.011078784242272377,0.01056402362883091
27,0.011032316833734512,0.0105637451633811
28,0.01134647335857153,0.01023668423295021
29,0.01189455110579729,0.018255004659295082
30,0.01009309571236372,0.01063545048236847
31,0.011339027434587479,0.011003995314240456
32,0.01068597286939621,0.010402687825262547
33,0.01077191811054945,0.010537528432905674
34,0.010725073516368866,0.010220088064670563
35,0.009975180961191654,0.010283178649842739
36,0.011645986698567867,0.01065644808113575
37,0.011183145456016064,0.010387098416686058
38,0.012047382071614265,0.010206661187112331
39,0.011038169264793396,0.010537013411521912
40,0.011836028657853603,0.010177837684750557
41,0.012178790755569935,0.010085370391607285
42,0.01106692012399435,0.010252850130200386
43,0.010649711824953556,0.010053317993879318
44,0.010932054370641708,0.01008432637900114
45,0.010193901136517525,0.010175828821957111
46,0.010816189460456371,0.010048366151750088
47,0.010775886476039886,0.010202881880104542
48,0.011194544844329357,0.01058243215084076
49,0.011608091183006763,0.010238777846097946
50,0.01121646910905838,0.010293612256646156
51,0.0096782511100173,0.010295399464666843
52,0.010967941023409367,0.010131871327757835
53,0.009931951761245728,0.010057030245661736
54,0.011005671694874763,0.010064348578453064
55,0.010622643865644932,0.010650765150785446
56,0.010846823453903198,0.010326169431209564
57,0.010995670221745968,0.009904546663165092
58,0.011317302472889423,0.010142163373529911
59,0.010245789773762226,0.010114602744579315
60,0.01135413721203804,0.010003989562392235
